Module Name,Module Contents
Foundational Requirements,Introductory backend concepts; Command line and version control basics; Fundamentals of RESTful services
Core LLM Concepts,Overview of transformer-based language models; Internal model operations; Text tokenization basics; Context length handling; Token-based cost models; Text generation parameters; Randomness control; Repetition control; Probability sampling; Output termination rules; Response length limits; Open-source model families; Proprietary model families; Model licensing basics; Streaming vs batch outputs; Reasoning-focused vs standard models; Model tuning vs prompt design; Vector embeddings and similarity search; Cost comparison of popular models; Retrieval-augmented generation fundamentals
Introduction to AI Agents,Definition of autonomous agents; Understanding tools and actions; Agent execution cycle; Input perception; Planning and reasoning phase; Action execution; Feedback and self-correction; Practical agent applications
Effective Prompt Design,Clear and precise instructions; Context enrichment techniques; Correct technical vocabulary usage; Prompt examples and patterns; Prompt iteration strategies; Output formatting and size control; Best practices for prompt writing
Tooling and Integrations,Tool specification basics; Tool purpose and metadata; Input and output validation; Failure handling strategies; Usage documentation; Online search tools; Code execution environments; Data query tools; External API integrations; Messaging and notification tools; File system operations
Agent Memory Systems,Temporary contextual memory; Persistent long-term storage; Experience-based vs knowledge-based memory; Custom databases and vector stores; Retrieval-based memory augmentation; User preference storage; Memory summarization techniques; Memory decay strategies
Agent Design Patterns,Reason-and-act workflows; Explicit reasoning chains; Knowledge-retrieval agents; Planner–executor models; Graph-based agent flows; Multi-branch reasoning trees; Model Context Protocol overview; MCP host and client roles; MCP service components; Local and cloud deployment options
Developing AI Agents,Custom agent implementation; Direct interaction with LLM APIs; Building control loops; Output interpretation techniques; Robust error and quota handling; Structured function invocation; Managed assistant services
Agent Development Frameworks,LangChain ecosystem; LlamaIndex tooling; Haystack pipelines; AutoGen workflows; Crew-based agent systems; Lightweight agent toolkits; Vendor-specific tool integrations
Quality Assurance and Observability,Performance measurement indicators; Component-level testing; End-to-end workflow testing; Human-assisted evaluation; Experiment tracking tools; Retrieval evaluation metrics; Model quality assessment tools; Centralized logging; Monitoring and tracing platforms
Responsible AI Practices,Defense against prompt manipulation; Secure tool access controls; Sensitive data protection; Bias mitigation techniques; Safety validation and adversarial testing
