Module Name,Module Contents
UX Design Foundations,"What UX design means; Role of UX in products; Relationship between UX, UI, and business goals"
Human Decision Making Basics,How users make decisions; Cognitive processes behind choices
Behavioral Design Vocabulary,"Key terms such as nudge theory, persuasive technology, behavioral science, behavioral economics, and behavior design"
Behavior Change Frameworks Overview,Common frameworks used to influence user behavior
BJ Fogg Behavior Model,"Motivation, ability, and prompt model for behavior change"
CREATE Action Funnel,Step-by-step funnel to guide user actions
Spectrum of Thinking Interventions,Different levels of cognitive intervention
Dual Process Theory,Fast intuitive thinking vs slow analytical thinking
Behavior Classification Models,Understanding and categorizing user behaviors
BJ Fogg Behavior Grid,Mapping behaviors by frequency and complexity
Hook-Based Behavior Models,Nir Eyal Hook Model; Cue-routine-reward loop
Habit Formation Concepts,Creating new habits; Reinforcing existing behaviors
Breaking Unwanted Habits,Avoiding cues; Replacing routines; Using mindfulness
Conscious Behavior Support,Helping users act deliberately and thoughtfully
User Education Strategies,Educating and encouraging users to take action
Understanding the Product,Clarifying product purpose; Target outcome; Target user; Target action
Defining Target Users,Identifying user groups; Creating user personas
Business Model Awareness,Understanding how the product makes money
Existing Business Models,Analyzing current business models
Business Model Canvas,Using canvas frameworks to map business models
Lean Canvas,Lightweight business modeling approach
New Business Model Exploration,Designing and validating new business models
Business Model Inspiration,Learning from proven business models
Competitor Analysis,Studying competitors and market positioning
Strategic Analysis Frameworks,Five forces model; SWOT analysis
Conceptual Product Design,Translating ideas into conceptual solutions
Product Backlog Creation,Defining and organizing product tasks
User Stories Writing,Writing user-centered stories
UX Design Guidelines,Keeping designs simple; Clear progress; Visible success
UX Deliverables,Customer experience maps; Flowcharts; Process models
Process Modeling Techniques,EPC; BPMN
Prototyping Fundamentals,Creating early representations of designs
Layout and Visual Rules,Good layout principles for clarity
Wireframing Techniques,Low-fidelity design exploration
Design Tools Overview,Figma; Adobe XD; Sketch; Balsamiq
Attention and Engagement Design,Designing for limited user attention
Call to Action Design,Clear and compelling CTAs
User Guidance Elements,Status reports; How-to tips
Reminders and Planning Prompts,Helping users remember and plan actions
Decision Support Interfaces,Helping users make better decisions
Behavior Change Mechanics,Gamification; Games; Goal tracking
Motivation Tools,Planners; Reminders; Social sharing
Educational UX Patterns,Tutorials and onboarding patterns
UX Patterns Overview,Common reusable UX solutions
UX Best Practices,Reducing distractions; Clear action paths
Directing User Attention,Guiding users where and how to act
Visual Trust and Authority,Professional design; Authority signals
Social Influence Techniques,Social proof; Peer comparison
Cognitive Load Reduction,Avoiding overload; Simplifying choices
Payment and Commitment Psychology,Avoiding friction; Leveraging commitments
Urgency and Scarcity,Encouraging timely action
Loss Aversion Techniques,Framing to avoid losses
Ease of Action Design,Making tasks easy to complete
Implementation Intentions,Helping users plan concrete actions
Default Design Strategies,Using defaults to guide behavior
Information Reduction,Reducing effort and information burden
Impact Measurement Basics,Why measuring UX impact matters
Testing Approaches,Usability testing; Experiments
A/B Testing,Incremental A/B testing
Multivariate Testing,Testing multiple variables together
Learning and Optimization,Gathering insights; Prioritizing improvements
Related Learning Paths,Design systems; Frontend development roadmaps
